Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0013687	1	0	0	7	0	1	1	0	0	4	0	1	0.89	0	2	3.558	1.831	0.605	0.545213413157778	NA	0	7.354	5.3043	5.3043	TRUE	NA
FBtr0005088	10274	3376	3547	10799	3491	3753	5317	5057	4997	5514	4794	4656	5055.75	5124	4988	0.972	-0.041	-0.348	0.727805433352115	0.934282633845497	0.0011	0.0272	0.01	0.01	TRUE	NA
FBtr0006151	3	0	1	3	1	1	2	0	1	2	1	1	1.18	1	1	1.407	0.493	0.24	0.810325980111338	NA	0	5.5244	2.0717	2.0717	TRUE	NA
FBtr0070000	6	3	4	6	3	3	3	4	6	3	4	4	4.02	4	4	0.846	-0.241	-0.22	0.826002933792624	NA	0	1.6448	0.6099	0.6099	TRUE	NA
FBtr0070002	11	1	1	7	1	0	6	1	1	4	1	0	2.26	3	2	0.535	-0.902	-0.525	0.59958869436349	NA	0	2.9106	1.3374	1.3374	TRUE	NA
FBtr0070003	56	14	13	62	30	35	29	21	18	32	41	43	30.76	23	39	1.666	0.737	1.513	0.130205930535515	0.483212317412165	0	0.2377	0.1337	0.1337	TRUE	NA
FBtr0070006	184	157	108	171	116	121	95	235	152	87	159	150	146.54	161	132	0.838	-0.255	-0.928	0.353385286223529	0.746331248693827	0.0261	0.0704	0.0473	0.0473	TRUE	NA
FBtr0070007	1120	352	402	1054	412	435	580	527	566	538	566	540	552.8	558	548	0.981	-0.028	-0.182	0.855904936514615	0.969014093938311	0	0.0377	0.0153	0.0153	TRUE	NA
FBtr0070008	379	130	151	434	174	211	196	195	213	222	239	262	220.98	201	241	1.192	0.253	1.272	0.203211777018177	0.603271027126601	0	0.0554	0.0238	0.0238	TRUE	NA
FBtr0070025	1807	1107	1135	1643	1150	1068	935	1658	1599	839	1579	1325	1322.54	1397	1248	0.893	-0.163	-1.106	0.268761301685439	0.678063002135993	0.0043	0.0308	0.0148	0.0148	TRUE	NA
FBtr0070026	673	271	304	681	350	382	348	406	428	348	481	474	414.12	394	434	1.091	0.125	0.751	0.452477852480744	0.818683190662072	0	0.0416	0.0175	0.0175	TRUE	NA
FBtr0070027	640	239	263	817	325	295	331	358	371	417	446	366	381.52	353	410	1.164	0.219	1.183	0.236775071170084	0.642866643940602	0.0056	0.043	0.0218	0.0218	TRUE	NA
FBtr0070028	124	27	40	226	22	26	64	40	56	115	30	32	56.47	53	59	0.945	-0.082	-0.177	0.859458336863213	0.970490677056686	0.1224	0.1412	0.1317	0.1317	TRUE	NA
