Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0112994	60	23	60	8888	4997	5273	31	34	85	4539	6862	6542	3015.36	50	5981	123.017	6.943	24.509	1.19230129745236e-132	1.05465011266148e-128	0.0937	0.0281	0.0468	0.0468	TRUE	NA
FBtr0073426	549	268	262	4784	2222	2631	284	401	369	2443	3051	3264	1635.47	351	2919	8.337	3.06	21.832	1.14962860550235e-105	6.77935988664736e-102	0.0012	0.0299	0.0124	0.0124	TRUE	NA
FBtr0337020	105	24	35	2749	1051	969	54	36	49	1404	1443	1202	698.12	46	1350	28.718	4.844	21.396	1.4503041681914e-101	6.41433275986849e-98	0.0133	0.0352	0.025	0.025	TRUE	NA
FBtr0342806	149	79	82	2611	2450	2074	77	118	116	1333	3364	2573	1263.6	104	2423	22.19	4.472	20.273	2.21643856166848e-91	7.84220291889543e-88	0.0286	0.0311	0.0298	0.0298	TRUE	NA
FBtr0340240	529	102	102	5508	1146	1067	274	153	144	2813	1574	1324	1046.71	190	1904	9.962	3.316	19.46	2.39026771226764e-84	6.04088944253239e-81	0.0062	0.0321	0.0172	0.0172	TRUE	NA
FBtr0301964	145	145	135	1290	1125	1369	75	217	190	659	1545	1698	730.73	161	1301	8.23	3.041	17.875	1.86094895441532e-71	3.29220479525614e-68	0.0031	0.0348	0.0169	0.0169	TRUE	NA
FBtr0342810	333	94	91	4643	1447	1092	172	141	128	2371	1987	1355	1025.66	147	1904	12.891	3.688	16.862	8.49231254286784e-64	1.15567308612212e-60	0.0283	0.0323	0.0302	0.0302	TRUE	NA
FBtr0089349	1500	393	451	6426	2612	2788	776	589	635	3281	3587	3459	2054.54	667	3442	5.176	2.372	14.313	1.80280977468078e-46	1.4497048965399e-43	0.0112	0.0291	0.0188	0.0188	TRUE	NA
FBtr0087258	963	265	242	5327	2285	2110	498	397	341	2720	3138	2618	1618.64	412	2825	6.896	2.786	14.265	3.60297102675458e-46	2.7713113232311e-43	0.0224	0.0299	0.0259	0.0259	TRUE	NA
FBtr0301487	818	499	372	4779	3391	3782	423	747	524	2440	4656	4692	2247.27	565	3929	6.775	2.76	14.083	4.83175517550596e-45	3.56160753374483e-42	0.0245	0.0288	0.0266	0.0266	TRUE	NA
