Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	331.668	0.000000	0.000
FBtr0300738	2350	2172.138	0.182616	2.668
FBtr0300739	2172	1994.138	0.305539	4.098
FBtr0300737	2184	2006.138	0.215801	2.912
FBtr0300736	2338	2160.138	0.245755	3.570
FBtr0078628	2467	2289.138	0.256956	3.956
FBtr0300740	2479	2301.138	0.193491	2.994
FBtr0078627	2301	2123.138	0.317251	4.530
FBtr0300741	2313	2135.138	0.227934	3.273
FBtr0072762	889	711.429	61.067126	292.176
FBtr0346821	1270	1092.138	4.215490	30.962
FBtr0331460	900	722.428	2.117547	10.288
FBtr0303848	5005	4827.138	7.686675	249.536
FBtr0086122	1465	1287.138	0.462093	4.000
FBtr0335147	3125	2947.138	2.862619	56.737
FBtr0081459	3019	2841.138	21.774191	416.045
FBtr0305321	6523	6345.138	1.220269	52.072
FBtr0083716	5665	5487.138	21.189233	781.928
FBtr0078184	1305	1127.138	0.131922	1.000
FBtr0081691	765	587.525	0.000000	0.000
FBtr0085263	1228	1050.138	0.000000	0.000
FBtr0086342	492	314.681	0.000000	0.000
FBtr0086343	495	317.678	0.000000	0.000
FBtr0091847	1023	845.138	1.962273	11.153
FBtr0072393	1393	1215.138	81.764054	668.180
FBtr0343502	867	689.441	0.592202	2.746
FBtr0343753	3569	3391.138	3.165703	72.197
FBtr0433525	3725	3547.138	0.250003	5.964
FBtr0113895	961	783.396	14.494150	76.362
FBtr0345179	887	709.429	66.366295	316.638
FBtr0334135	4703	4525.138	0.327713	9.973
FBtr0334137	4561	4383.138	0.991051	29.214
FBtr0334141	5321	5143.138	0.225536	7.801
FBtr0334139	4203	4025.138	0.523809	14.179
FBtr0334140	5704	5526.138	0.202887	7.540
FBtr0344148	4894	4716.138	0.287223	9.110
FBtr0334142	5071	4893.138	0.257879	8.486
FBtr0334138	5563	5385.138	0.201254	7.289
FBtr0334136	3862	3684.138	1.154517	28.605
FBtr0085105	995	817.363	3.274552	18.000
FBtr0346720	2745	2567.138	0.000000	0.000
FBtr0076089	442	264.725	0.000000	0.000
FBtr0087500	1417	1239.138	12.359810	103.000
FBtr0073094	1694	1516.138	12.956262	132.107
FBtr0073093	1577	1399.138	82.352294	774.893
FBtr0343515	1092	914.138	0.889335	5.467
FBtr0072451	975	797.377	11.847505	63.533
FBtr0071607	2252	2074.138	2.724207	38.000
FBtr0081516	4704	4526.138	0.197114	6.000
FBtr0300749	931	753.421	2.660594	13.481
FBtr0346532	1185	1007.138	0.179947	1.219
FBtr0073076	880	702.435	75.211423	355.300
FBtr0089289	4677	4499.138	1.164469	35.234
FBtr0100448	4590	4412.138	2.707694	80.344
FBtr0089290	4681	4503.138	1.735427	52.557
FBtr0089288	4037	3859.138	12.975791	336.767
FBtr0100447	4417	4239.138	2.116873	60.350
FBtr0329933	4663	4485.138	1.838352	55.451
FBtr0336949	2826	2648.138	21.409993	381.297
FBtr0088786	1378	1200.138	80.390944	648.850
FBtr0088785	1869	1691.138	14.323769	162.908
FBtr0303077	607	429.614	0.000000	0.000
FBtr0339716	615	437.610	0.084038	0.247
FBtr0085459	600	422.616	66.411199	188.753
FBtr0070973	1218	1040.138	0.285913	2.000
FBtr0089252	2767	2589.138	3.018142	52.553
