Name	Length	EffectiveLength	TPM	NumReads
FBgn0053929	423	241.788	0	0
FBgn0267873	257	75.912	0	0
FBgn0267896	719	537.629	0.000253	0.001
FBgn0260225	1197	1015.32	0.02986	0.268
FBgn0040928	1085	903.322	3.63532	29
FBgn0262789	532	350.7	0.645775	2
FBgn0058461	391	209.826	0.643048	1.192
FBgn0042701	620	438.677	0.301749	1.169
FBgn0263493	352	170.847	0.000212	0
FBgn0265917	359	177.844	0	0
FBgn0262163	610	428.683	0.26415	1
FBgn0085831	237	56.003	0	0
FBgn0267108	321	139.861	0.000538	0.001
FBgn0051032	770	588.605	13.4667	70
FBgn0266102	391	209.826	2.28265	4.23
FBgn0053867	526	344.705	0.016137	0.049
FBgn0267026	323	141.86	0.000128	0
FBgn0267519	2689	2507.32	1853.09	41031.8
FBgn0058005	1227	1045.32	0.100373	0.927
FBgn0039979	803	621.587	7.77593	42.684
FBgn0053318	523	341.707	0.331385	1
FBgn0053805	440	258.769	0.003962	0.009
FBgn0267419	780	598.599	0	0
FBgn0267892	760	578.609	0.00026	0.001
FBgn0267902	582	400.69	0	0
FBgn0262964	777	595.601	0.190122	1
FBgn0085790	1041	859.322	0.486082	3.689
FBgn0267879	601	419.687	0	0
FBgn0085291	1130	948.322	0.081194	0.68
FBgn0263093	1194.61	1012.94	29.7653	266.26
FBgn0267952	1290	1108.32	0	0
FBgn0030117	636	454.656	0.067872	0.273
FBgn0058182	291	109.878	0	0
FBgn0052518	75	26.067	0	0
FBgn0027934	1345	1163.32	0	0
FBgn0085340	423	241.788	0	0
FBgn0263744	845	663.57	0	0
FBgn0263210	221	41.394	0	0
FBtr0346869	123	49.962	2.67422	1.18
FBgn0267427	697	515.637	0	0
FBgn0263975	1131	949.322	2.50491	21
FBgn0267869	420	238.792	0.000321	0.001
FBgn0037560	964.069	782.555	46.1597	319
FBgn0263212	220	40.58	0	0
FBgn0085732	1474.53	1292.85	80.6239	920.502
FBgn0267593	610	428.683	0	0
FBgn0058100	394	212.824	5.17074	9.718
FBgn0264888	465	283.751	0	0
FBgn0037143	1446	1264.32	0.089563	1
FBgn0262510	501	319.722	1.71707	4.848
FBgn0263771	276	94.893	0	0
FBgn0053315	421	239.79	0	0
FBgn0050029	480	298.75	0	0
FBgn0085791	1041	859.322	0.036017	0.273
FBgn0085804	252	70.918	0	0
FBgn0267876	766	584.607	0.00026	0.001
FBgn0267494	656	474.645	0	0
FBgn0085792	1211	1029.32	1.42811	12.982
FBgn0053013	2636	2454.32	0	0
FBgn0266211	1668	1486.32	1.75227	23
FBgn0265141	1303	1121.32	0	0
FBgn0051292	440.609	259.381	0.018744	0.043
FBgn0053294	1989.74	1808.06	2.69304	43
FBgn0000280	166	13.236	0	0
FBgn0262885	102	39.624	0	0
FBgn0011812	456	274.756	0	0
FBgn0265533	384.5	203.319	0	0
FBgn0052496	778	596.601	1.73512	9.142
FBgn0052009	2998.19	2816.51	0.817126	20.324
FBtr0347033	1076	894.322	0	0
FBgn0262688	493	311.726	0	0
FBgn0053222	541.068	359.766	3.18062	10.106
FBgn0266940	581	399.691	0	0
FBgn0262565	802	620.587	0.182467	1
FBgn0263002	361	179.843	0	0
FBgn0084049	531	349.701	15.9568	49.278
FBgn0263211	352	170.847	0.000931	0.001
FBgn0267872	775	593.602	0.000261	0.001
FBgn0262031	330	148.855	39.8828	52.428
FBgn0267014	274	92.895	7.4994	6.152
FBgn0039987	184	16.584	0	0
FBgn0261640	810	628.585	0.619363	3.438
FBgn0052761	71	24.121	0	0
FBgn0267863	274	92.895	0	0
FBgn0052034	74	25.565	0	0
FBgn0262795	735	553.621	0	0
FBgn0261856	450	268.761	0.007022	0.017
FBgn0051485	73	25.062	0	0
FBgn0267610	864	682.538	0	0
FBgn0262851	1188	1006.32	9.18476	81.624
FBgn0053416	143	54.665	0	0
FBgn0267520	357	175.845	1.60284	2.489
FBgn0085765	30	10.537	0	0
FBgn0267424	659	477.645	0	0
FBgn0030116	1305	1123.32	0	0
FBgn0031135	363	181.842	0	0
FBgn0263213	224	43.91	0	0
FBgn0267878	266	84.903	0	0
FBgn0058441	177	13.606	0	0
FBgn0267864	485	303.734	0.00015	0
FBgn0085500	687	505.643	0	0
FBgn0085784	479	297.74	0.003535	0.009
FBgn0262848	1188	1006.32	9.24296	82.141
FBgn0063924	307	125.866	1.52352	1.693
FBgn0262616	554	372.696	0	0
FBgn0267891	718	536.63	0.00051	0.002
FBgn0053491	369	187.84	0.002316	0.004
FBgn0050374	600	418.688	1.62274	6
FBtr0347034	740	558.614	0	0
FBgn0267898	414	232.798	0.000301	0.001
FBgn0260469	919.053	737.573	0.556858	3.627
FBgn0267874	253	71.917	0	0
FBgn0030243	4715.1	4533.42	34.6947	1389
FBgn0032269	1866.98	1685.3	0.06719	1
FBgn0266369	2930	2748.32	20.6011	500
FBgn0032596	776.497	595.098	186.857	982
FBgn0033770	673	491.646	0	0
FBgn0259237	2786	2604.32	0	0
FBgn0013685	525	343.706	1.97675	6
FBgn0031021	768	586.606	59.2623	307
FBgn0033491	3329	3147.32	6.02895	167.57
FBgn0051141	961	779.487	0	0
FBgn0284082	778	596.601	0	0
FBgn0036396	1352	1170.32	8.46862	87.525
FBgn0036641	882.806	701.33	39.0733	242
FBgn0027594	4471.86	4290.18	133.107	5043
FBgn0261954	7820.66	7638.98	48.1154	3245.88
FBgn0029987	639	457.655	0.989714	4
FBgn0031660	1138.35	956.675	151.507	1280
FBgn0038619	938.056	756.569	20.2056	135
FBgn0001341	3680	3498.32	8.22169	254
FBgn0037541	7050.09	6868.41	27.7849	1685.3
