Name	Length	EffectiveLength	TPM	NumReads
FBgn0053929	423	249.863	0	0
FBgn0267873	257	83.984	0	0
FBgn0267896	719	545.702	0.002016	0.008
FBgn0260225	1197	1023.44	0	0
FBgn0040928	1085	911.436	2.99642	21
FBgn0262789	532	358.79	0.362468	1
FBgn0058461	391	217.897	0.820939	1.375
FBgn0042701	620	446.756	0.756772	2.6
FBgn0263493	352	178.923	0.00052	0.001
FBgn0265917	359	185.92	0	0
FBgn0262163	610	436.764	0	0
FBgn0085831	237	64.01	0	0
FBgn0267108	321	147.938	12.8385	14.604
FBgn0051032	770	596.684	12.4234	57
FBgn0266102	391	217.897	2.97554	4.985
FBgn0053867	526	352.795	0.020107	0.055
FBgn0267026	323	149.937	0	0
FBgn0267519	2689	2515.44	2391.06	46248.2
FBgn0058005	1227	1053.44	0.196563	1.592
FBgn0039979	803	629.664	8.20233	39.713
FBgn0053318	523	349.798	1.17457	3.159
FBgn0053805	440	266.85	0.851589	1.747
FBgn0267419	780	606.676	0	0
FBgn0267892	760	586.688	0	0
FBgn0267902	582	408.776	0.000275	0.001
FBgn0262964	777	603.679	0.861715	4
FBgn0085790	1041	867.436	0.202672	1.352
FBgn0267879	601	427.77	0.000576	0.002
FBgn0085291	1130	956.436	0.251628	1.851
FBgn0263093	1186.67	1013.11	34.4518	268.385
FBgn0267952	1290	1116.44	0	0
FBgn0030117	636	462.732	0.035282	0.126
FBgn0058182	291	117.956	0	0
FBgn0052518	75	25.58	5.08412	1
FBgn0027934	1345	1171.44	0	0
FBgn0085340	423	249.863	0	0
FBgn0263744	845	671.638	0.193631	1
FBgn0263210	221	48.169	5.25725	1.947
FBtr0346869	123	48.625	18.9896	7.1
FBgn0267427	697	523.713	0	0
FBgn0263975	1131	957.436	2.71663	20
FBgn0267869	420	246.865	0.00065	0.001
FBgn0037560	966.289	792.877	46.7465	285
FBgn0263212	220	47.209	0	0
FBgn0085732	1475.6	1302.04	68.9325	690.141
FBgn0267593	610	436.764	0	0
FBgn0058100	394	220.893	7.61497	12.934
FBgn0264888	465	291.837	0	0
FBgn0037143	1446	1272.44	0	0
FBgn0262510	501	327.808	2.1247	5.356
FBgn0263771	276	102.967	0	0
FBgn0053315	421	247.864	0.524683	1
FBgn0050029	480	306.829	0	0
FBgn0085791	1041	867.436	0.165589	1.104
FBgn0085804	252	78.989	0	0
FBgn0267876	766	592.685	0	0
FBgn0267494	656	482.722	0	0
FBgn0085792	1211	1037.44	3.20983	25.606
FBgn0053013	2636	2462.44	0	0
FBgn0266211	1668	1494.44	1.9145	22
FBgn0265141	1303	1129.44	0	0
FBgn0051292	435.525	262.383	0.01892	0.038
FBgn0053294	1991.38	1817.81	1.43084	20
FBgn0000280	166	13.114	19.8341	2
FBgn0262885	102	39.837	0	0
FBgn0011812	456	282.841	0.459799	1
FBgn0265533	384.5	211.394	0	0
FBgn0052496	778	604.678	1.62357	7.549
FBgn0052009	2997.49	2823.93	0.581696	12.632
FBtr0347033	1076	902.436	0	0
FBgn0262688	493	319.813	0.406644	1
FBgn0053222	544.032	370.819	0.097044	0.276
FBgn0266940	581	407.776	0	0
FBgn0262565	802	628.664	1.02802	4.969
FBgn0263002	361	187.92	0	0
FBgn0084049	531	357.79	19.6783	54.139
FBgn0263211	352	178.923	0.001279	0.002
FBgn0267872	775	601.681	0.001013	0.005
FBgn0262031	330	156.934	39.8179	48.049
FBgn0267014	274	100.969	14.4462	11.216
FBgn0039987	184	20.415	0	0
FBgn0261640	810	636.66	0.402369	1.97
FBgn0052761	71	23.844	0	0
FBgn0267863	274	100.969	0	0
FBgn0052034	74	25.09	0	0
FBgn0262795	735	561.698	0	0
FBgn0261856	450	276.844	0.939516	2
FBgn0051485	73	24.659	0	0
FBgn0267610	864	690.624	0	0
FBgn0262851	1188	1014.44	14.5556	113.539
FBgn0053416	143	43.645	26.8174	9
FBgn0267520	357	183.921	8.97328	12.69
FBgn0085765	30	9.922	13.1077	1
FBgn0267424	659	485.721	0	0
FBgn0030116	1305	1131.44	0	0
FBgn0031135	363	189.919	0	0
FBgn0263213	224	51.089	4.63077	1.819
FBgn0267878	266	92.975	0	0
FBgn0058441	177	16.904	0	0
FBgn0267864	485	311.818	0.000201	0
FBgn0085500	687	513.714	0	0
FBgn0085784	479	305.824	0.003523	0.008
FBgn0262848	1188	1014.44	2.87221	22.404
FBgn0063924	307	133.945	2.43373	2.507
FBgn0262616	554	380.785	0	0
FBgn0267891	718	544.703	0.001327	0.006
FBgn0053491	369	195.917	0.003528	0.005
FBgn0050374	600	426.77	0.30473	1
FBtr0347034	740	566.697	0	0
FBgn0267898	414	240.869	0.000613	0.001
FBgn0260469	925.543	752.157	1.40804	8.144
FBgn0267874	253	79.989	0	0
FBgn0030243	4755.39	4581.83	39.7971	1402.1
FBgn0032269	1867	1693.44	0	0
FBgn0266369	2930	2756.44	21.2784	451
FBgn0032596	776.103	602.784	193.527	897
FBgn0033770	665.984	492.708	0.263949	1
FBgn0259237	2786	2612.44	0	0
FBgn0013685	525	351.797	0.739347	2
FBgn0031021	768	594.685	63.9372	292.368
FBgn0033491	3329	3155.44	6.9978	169.79
FBgn0051141	961	787.598	0.165122	1
FBgn0284082	778	604.678	0	0
FBgn0036396	1352	1178.44	6.95256	63
FBgn0036641	883.663	710.279	36.8025	201
FBgn0027594	4478.53	4304.97	135.156	4474
FBgn0261954	7845.07	7671.5	53.5532	3159.04
FBgn0029987	639	465.731	1.67543	6
FBgn0031660	1139.32	965.755	144.088	1070
FBgn0038619	937.263	763.875	17.1953	101
FBgn0001341	3680	3506.44	9.71729	262
FBgn0037541	7052.37	6878.81	32.3948	1713.48
FBgn0016701	1175.63	1002.13	62.8104	484
FBgn0039110	1769.66	1596.09	68.1989	837
FBgn0038839	2837.12	2663.56	0.048825	1
FBgn0264307	3533.45	3359.88	8.31943	214.936
FBgn0263355	3529.92	3356.35	46.6708	1204.49
FBgn0032482	2178.93	2005.36	148.897	2295.99
FBgn0050082	843	669.639	0.582627	3
FBgn0033698	5896	5722.44	20.1582	887
FBgn0032240	530	356.791	147.455	404.541
FBgn0029925	1070	896.436	25.388	175
FBgn0039017	1757	1583.44	8.08023	98.382
FBgn0259711	908	734.614	14.1625	80
FBgn0051140	5760.91	5587.34	7.54136	324
FBgn0036813	1221	1047.44	40.7245	328
FBgn0004379	2913.41	2739.85	26.3911	555.998
FBgn0036158	782	608.675	0	0
FBgn0031816	2035.16	1861.6	12.2952	176
FBgn0034923	1675.98	1502.41	26.183	302.482
FBgn0039582	1151	977.436	0	0
FBgn0051635	6287.96	6114.4	10.4858	493
FBgn0263117	5200.06	5026.5	0.058971	2.279
FBgn0030259	717	543.704	0	0
FBgn0029858	1852.24	1678.68	14.1055	182.073
FBgn0260745	2909.84	2736.27	178.563	3757
FBgn0015791	1156.07	982.516	115.554	873
FBgn0051453	1554.41	1380.84	62.3482	662
FBgn0025574	2102.6	1929.03	23.7983	353
FBgn0039637	3175.45	3001.89	79.0206	1824
FBgn0023095	4739.94	4566.38	1.90815	67
FBgn0014022	1444	1270.44	19.0401	186
FBgn0035134	1243	1069.44	0.60803	5
FBgn0044826	3556.98	3383.41	72.3778	1883
FBgn0030937	1405	1231.44	0	0
FBgn0085213	715	541.706	0.240075	1
FBgn0039875	2455.51	2281.95	68.8206	1207.57
FBgn0037736	3928.94	3755.37	0.242413	7
FBgn0024732	2153	1979.44	20.8927	318
FBgn0053700	1116	942.436	0	0
FBgn0260747	999.176	825.736	239.394	1520
FBgn0038011	1767	1593.44	0	0
FBgn0066365	2784.15	2610.58	0.000164	0.003
FBgn0039863	5861.19	5687.63	37.6822	1648
FBgn0037721	832.03	658.675	1.77698	9
FBgn0036459	2408	2234.44	0	0
FBgn0038291	1731	1557.44	14.5294	174
FBgn0001114	3261.09	3087.53	1020.3	24223
FBgn0262894	324	150.937	0	0
FBgn0015772	4865.01	4691.45	14.193	512
FBgn0030873	1721.56	1548	92.913	1105.96
FBgn0086675	6911.1	6737.53	0.23125	11.981
FBgn0038223	4302.63	4129.06	11.0913	352.149
FBgn0027081	2320.48	2146.92	217.586	3592
FBgn0043458	3245.12	3071.55	62.7799	1482.75
FBgn0262010	471	297.833	0	0
FBgn0259963	337	163.93	0	0
FBgn0010238	2156	1982.44	107.323	1636
FBgn0034184	2949.74	2776.17	33.541	716
FBgn0000018	1794	1620.44	22.873	285
FBgn0032809	910	736.614	1.0593	6
FBgn0036605	513	339.805	0	0
FBgn0052280	1136.32	962.752	36.3281	268.935
FBgn0000055	1118.32	944.753	0.177915	1.293
FBgn0033657	3918	3744.44	0.069463	2
FBgn0035421	1684	1510.44	22.214	258
FBgn0030666	1628.58	1455.02	1.1641	13.024
FBgn0011202	4199.05	4025.49	38.0249	1177
FBgn0050091	1681	1507.44	0	0
FBgn0033260	3372.74	3199.18	35.8948	883
FBgn0283427	8584.35	8410.79	949.584	61413
FBgn0033740	2222.11	2048.54	19.6166	309
FBgn0011725	2797.85	2624.28	28.0548	566.117
FBgn0034377	761	587.688	0.221291	1
FBgn0284248	680.991	507.707	791.509	3090
FBgn0040674	712.5	539.209	0	0
FBgn0036323	1637	1463.44	0	0
FBgn0038260	1973	1799.44	2.02363	28
FBgn0034617	1987	1813.44	13.9126	194
FBgn0262018	7550.68	7377.12	0.017629	1
FBgn0031873	840	666.642	25.3607	130
FBgn0032366	866	692.624	0	0
FBgn0035241	4682.9	4509.33	0.725427	25.153
FBgn0260049	2269.38	2095.82	169.464	2731
FBgn0015558	4413.67	4240.11	0.68054	22.189
FBgn0267875	162	12.768	0	0
FBgn0003870	4188.11	4014.55	32.6196	1006.95
FBgn0053061	1277.9	1104.34	0.117763	1
FBgn0041181	4928	4754.44	0	0
FBgn0039778	933	759.613	0.171205	1
FBgn0014455	1597.47	1423.91	253.338	2773.78
FBgn0030462	936.667	763.27	0	0
FBgn0051832	762	588.687	0.662746	3
FBgn0000259	1591.94	1418.43	119.53	1303.7
FBgn0261581	585.893	412.665	0.315147	1
FBgn0039271	836	662.647	10.7942	55
FBgn0031463	1194	1020.44	0	0
FBgn0014006	4626.81	4453.25	31.8901	1092
FBgn0037150	1456	1282.44	11.5606	114
FBgn0030294	1628	1454.44	14.4854	162
FBgn0036039	1941.36	1767.79	15.4489	210
FBgn0029676	2020.4	1846.84	68.1591	967.927
FBgn0037475	1444.5	1270.94	0	0
FBgn0052076	1529	1355.44	29.9354	312
FBgn0058354	1400	1226.44	4.41515	41.637
FBgn0033738	3638.19	3464.62	42.6202	1135.43
FBgn0064126	1577.8	1404.24	44.6416	482.026
FBgn0039115	970	796.59	21.0209	128.758
FBgn0010356	2362	2188.44	19.3134	325
FBgn0051100	2432.78	2259.22	0.172692	3
FBgn0263249	318	144.939	0	0
FBgn0039635	1178.34	1004.84	186.111	1438
FBgn0050010	744.974	571.663	3.6399	16
FBgn0034495	1429	1255.44	17.8137	171.965
FBgn0005617	3827.44	3653.88	29.5772	831
FBgn0030703	1436.9	1263.34	111.897	1087
FBgn0036574	4008.76	3835.2	17.3193	510.751
FBgn0038742	1418	1244.44	72.422	693
FBgn0003162	1649.2	1475.64	6.52172	74
FBgn0046999	672	498.72	0	0
FBgn0037345	831	657.654	17.0063	86
FBgn0037050	1501.45	1327.88	9.02392	92.14
FBgn0029783	1123.25	949.684	9.03805	66
FBgn0261269	3730.5	3556.94	5.44779	149
FBgn0264270	2229.26	2055.69	48.2081	762.023
FBgn0259822	4758.24	4584.67	0.028368	1.001
FBgn0034035	1562	1388.44	29.3176	313
FBgn0039270	868	694.624	12.3568	66
FBgn0031626	1990	1816.44	0	0
FBgn0051324	1979.24	1805.68	57.6628	800.619
FBgn0260858	1469	1295.44	44.5735	444
FBgn0031874	1802	1628.43	6.23346	78.053
FBgn0262719	7923.37	7749.81	0.335621	20
FBgn0082831	6728.76	6555.2	32.3181	1629
FBgn0259239	3743.62	3570.06	0.218568	6
FBgn0036146	755	581.691	4.0243	18
FBgn0035073	3322	3148.44	17.2507	417.629
FBgn0020371	789	615.673	0	0
FBgn0032845	1541.8	1368.24	6.95862	73.211
FBgn0283651	4285.89	4112.32	1.13922	36.024
FBgn0267824	2632	2458.44	36.0774	682
FBgn0069973	898.546	725.16	16.8579	94
FBgn0036301	1709	1535.44	15.2022	179.485
FBgn0265048	4744	4570.44	173.687	6104
FBgn0261057	237.5	64.578	0	0
FBgn0052564	1448	1274.44	0	0
FBgn0030797	1081.98	908.567	12.8003	89.427
FBgn0001296	2223.99	2050.42	3.1713	50
FBgn0259972	706	532.687	0	0
FBgn0053986	871	697.623	0	0
FBgn0032435	2743	2569.44	0.101228	2
FBgn0033905	1147.56	974	20.5623	154
FBgn0029539	639.5	466.23	0	0
FBgn0030502	2962.08	2788.52	77.4651	1661
FBgn0032554	1230	1056.52	0	0
FBgn0036410	2269.87	2096.3	0.744453	12
FBgn0025390	6268.54	6094.97	4.20294	196.977
FBgn0038394	1047	873.436	0.744473	5
FBgn0029715	1081.95	908.387	69.149	483
FBgn0034911	6361	6187.44	0.252221	12
FBgn0026063	2066	1892.44	0.537049	7.815
FBgn0032375	787.601	614.274	0.211713	1
FBgn0033665	1878	1704.44	10.0717	132
FBgn0085380	3223	3049.44	0	0
FBgn0037493	813	639.66	0	0
FBgn0053701	315	141.94	0	0
FBgn0032189	1259	1085.44	11.7417	98
FBgn0033726	683	509.715	0	0
FBgn0037526	2097.77	1924.21	7.89815	116.86
FBgn0028902	2092.63	1919.07	0.271068	4
FBgn0050289	1164	990.436	0.131306	1
FBgn0038131	1100	926.436	0	0
FBgn0004910	1837	1663.48	0	0
FBgn0037715	1028.63	855.067	24.1828	159
FBgn0038151	1571	1397.44	0	0
FBgn0005391	1582.65	1409.09	0.369174	4
FBgn0265416	6903	6729.44	0.038853	2.01
FBgn0033115	1351.45	1177.88	15.4574	140
FBgn0029587	2631.84	2458.28	1.32915	25.124
FBgn0034300	5039.52	4865.95	14.9936	561
