Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	327.716	0.000000	0.000
FBtr0300738	2350	2168.322	0.160027	3.064
FBtr0300739	2172	1990.322	0.267167	4.696
FBtr0300737	2184	2002.322	0.248196	4.389
FBtr0300736	2338	2156.322	0.168826	3.215
FBtr0078628	2467	2285.322	0.146517	2.957
FBtr0300740	2479	2297.322	0.139690	2.834
FBtr0078627	2301	2119.322	0.215835	4.040
FBtr0300741	2313	2131.322	0.203040	3.822
FBtr0072762	889	707.525	71.320428	445.624
FBtr0346821	1270	1088.322	4.047364	38.899
FBtr0331460	900	718.523	2.477734	15.722
FBtr0303848	5005	4823.322	8.304902	353.748
FBtr0086122	1465	1283.322	0.617660	7.000
FBtr0335147	3125	2943.322	2.213868	57.544
FBtr0081459	3019	2837.322	18.906002	473.719
FBtr0305321	6523	6341.322	1.273195	71.300
FBtr0083716	5665	5483.322	18.022234	872.700
FBtr0078184	1305	1123.322	0.604831	6.000
FBtr0081691	765	583.607	0.000000	0.000
FBtr0085263	1228	1046.322	0.000000	0.000
FBtr0086342	492	310.727	0.000000	0.000
FBtr0086343	495	313.725	0.000000	0.000
FBtr0091847	1023	841.322	1.424391	10.583
FBtr0072393	1393	1211.322	13.586378	145.337
FBtr0343502	867	685.537	0.770237	4.663
FBtr0343753	3569	3387.322	4.058036	121.391
FBtr0433525	3725	3543.322	0.164822	5.157
FBtr0113895	961	779.487	24.710764	170.101
FBtr0345179	887	705.525	46.528731	289.899
FBtr0334135	4703	4521.322	0.280155	11.186
FBtr0334137	4561	4379.322	0.444971	17.209
FBtr0334141	5321	5139.322	0.200384	9.095
FBtr0334139	4203	4021.322	0.500857	17.787
FBtr0334140	5704	5522.322	0.165404	8.066
FBtr0344148	4894	4712.322	0.263114	10.949
FBtr0334142	5071	4889.322	0.216252	9.337
FBtr0334138	5563	5381.322	0.176729	8.399
FBtr0334136	3862	3680.322	1.014491	32.972
FBtr0085105	995	813.454	9.465923	68.000
FBtr0346720	2745	2563.322	0.000000	0.000
FBtr0076089	442	260.768	0.000000	0.000
FBtr0087500	1417	1235.322	11.458216	125.000
FBtr0073094	1694	1512.322	6.595663	88.088
FBtr0073093	1577	1395.322	76.683904	944.912
FBtr0343515	1092	910.322	0.180734	1.453
FBtr0072451	975	793.469	10.210547	71.547
FBtr0071607	2252	2070.322	3.336408	61.000
FBtr0081516	4704	4522.322	0.150237	6.000
FBtr0300749	931	749.516	1.877674	12.428
FBtr0346532	1185	1003.322	0.502896	4.456
FBtr0073076	880	698.527	62.268151	384.116
FBtr0089289	4677	4495.322	0.848702	33.692
FBtr0100448	4590	4408.322	1.164729	45.343
FBtr0089290	4681	4499.322	1.093762	43.459
FBtr0089288	4037	3855.322	9.803639	333.780
FBtr0100447	4417	4235.322	1.512148	56.558
FBtr0329933	4663	4481.322	1.147677	45.419
FBtr0336949	2826	2644.322	22.556715	526.748
FBtr0088786	1378	1196.322	82.015079	866.472
FBtr0088785	1869	1687.322	11.649177	173.583
FBtr0303077	607	425.686	0.000000	0.000
FBtr0339716	615	433.681	0.057931	0.222
FBtr0085459	600	418.688	82.699636	305.778
FBtr0070973	1218	1036.322	1.201946	11.000
FBtr0089252	2767	2585.322	2.363902	53.971
FBtr0334488	2840	2658.322	2.150154	50.477
FBtr0334489	2902	2720.322	0.814862	19.576
FBtr0100600	3804	3622.322	3.274519	104.748
FBtr0300305	309	127.865	0.000000	0.000
FBtr0077162	567	385.695	0.000000	0.000
FBtr0072277	713	531.632	55.592562	261.000
FBtr0344898	1082	900.322	0.000000	0.000
FBtr0086817	1175	993.322	0.000000	0.000
FBtr0333271	5146	4964.322	0.643105	28.194
FBtr0072639	5149	4967.322	0.588285	25.806
FBtr0340000	824	642.577	1.158419	6.574
FBtr0087390	427	245.784	101.093342	219.426
FBtr0070472	3021	2839.322	2.842839	71.282
FBtr0331752	4499	4317.322	14.963778	570.517
FBtr0070475	3174	2992.322	7.303759	193.005
FBtr0070474	3218	3036.322	0.538143	14.430
FBtr0302185	2166	1984.322	1.752302	30.707
FBtr0070471	4805	4623.322	10.096472	412.227
FBtr0112828	2903	2721.322	4.755648	114.288
FBtr0301966	3182	3000.322	0.948815	25.140
FBtr0070468	3055	2873.322	9.318894	236.462
FBtr0070476	2745	2563.322	0.381941	8.646
FBtr0070470	3110	2928.322	1.440810	37.260
FBtr0331751	4750	4568.322	1.312324	52.943
FBtr0070469	4244	4062.322	12.932899	463.963
FBtr0070467	2929	2747.322	0.486424	11.802
FBtr0331753	5004	4822.322	1.105607	47.084
FBtr0070466	2847	2665.322	1.575915	37.093
FBtr0070473	3091	2909.322	1.640675	42.153
FBtr0076265	1575	1393.322	56.077001	690.000
FBtr0331935	1030	848.322	0.148402	1.112
FBtr0088237	816	634.582	101.871073	570.888
FBtr0081705	1363	1181.322	0.000000	0.000
FBtr0088524	1299	1117.322	86.144536	850.000
FBtr0074540	843	661.571	24.305194	142.000
FBtr0074494	1357	1175.322	0.385381	4.000
FBtr0085714	3349	3167.322	116.294837	3252.860
FBtr0085713	3440	3258.322	852.984294	24544.140
FBtr0076256	334	152.852	2.963295	4.000
FBtr0339552	1718	1536.322	10.159798	137.842
FBtr0078950	1533	1351.322	27.750076	331.158
FBtr0070990	1321	1139.322	1.300992	13.090
FBtr0100409	805	623.586	0.413888	2.279
FBtr0343330	706	524.635	108.705785	503.643
FBtr0304902	1617	1435.322	0.424923	5.386
FBtr0304901	2286	2104.322	0.248282	4.614
FBtr0078872	1228	1046.322	0.108224	1.000
FBtr0077839	2112	1930.322	9.069707	154.609
FBtr0077837	2331	2149.322	2.733335	51.881
FBtr0077838	2235	2053.322	3.398428	61.624
FBtr0077836	2325	2143.322	25.406333	480.886
FBtr0075133	4018	3836.322	0.405486	13.737
FBtr0332862	2190	2008.322	3.679751	65.263
FBtr0087988	1754	1572.322	172.504945	2395.278
FBtr0087987	1948	1766.322	474.638378	7403.644
FBtr0074688	1633	1451.322	52.587594	674.000
FBtr0086864	3503	3321.322	13.603452	399.000
FBtr0083361	1283	1101.322	0.000000	0.000
FBtr0392904	4164	3982.322	9.136814	321.325
FBtr0084588	2385	2203.322	99.162597	1929.473
FBtr0303161	2639	2457.322	12.047887	261.448
FBtr0079257	1918	1736.322	16.238888	249.000
FBtr0307341	906	724.523	0.000271	0.002
FBtr0084989	527	345.704	0.000186	0.001
FBtr0306309	750	568.611	0.782128	3.927
FBtr0344570	539	357.699	0.022981	0.073
FBtr0078090	1219	1037.322	33.949545	311.000
FBtr0087439	546	364.698	25.460536	82.000
FBtr0070960	2096	1914.322	0.128512	2.173
FBtr0302357	2296	2114.322	0.104996	1.960
FBtr0302356	2428	2246.322	0.094308	1.871
FBtr0340571	3830	3648.322	0.015519	0.500
FBtr0340572	3825	3643.322	0.015540	0.500
FBtr0080267	3305	3123.322	0.000000	0.000
FBtr0077141	787	605.593	0.000000	0.000
FBtr0306593	981	799.463	0.000000	0.000
FBtr0081719	1938	1756.322	80.205368	1244.000
FBtr0071549	1655	1473.322	34.816709	453.000
FBtr0308832	1068	886.322	11.297702	88.429
FBtr0308833	2043	1861.322	29.904222	491.549
FBtr0074921	2263	2081.322	2.721506	50.022
FBtr0073011	1996	1814.322	0.062413	1.000
FBtr0112378	450	268.761	0.000000	0.000
FBtr0342602	1596	1414.322	0.202116	2.524
FBtr0080326	1217	1035.322	92.910032	849.476
FBtr0085405	675	493.645	182.823157	797.000
FBtr0339295	331	149.854	0.000000	0.000
FBtr0300316	205	29.380	0.000000	0.000
FBtr0300904	2130	1948.322	0.000000	0.000
FBtr0081633	2196	2014.322	0.000000	0.000
FBtr0300905	2052	1870.322	0.000000	0.000
FBtr0335279	1234	1052.322	0.075497	0.702
FBtr0335281	1199	1017.322	0.079287	0.712
FBtr0290216	733	551.622	0.000000	0.000
FBtr0335280	740	558.614	0.000000	0.000
FBtr0077120	1711	1529.322	17.607412	237.797
FBtr0081676	887	705.525	0.000000	0.000
FBtr0076639	2093	1911.322	0.153238	2.587
FBtr0079280	1148	966.322	0.234366	2.000
FBtr0304827	5797	5615.322	0.069267	3.435
FBtr0433494	6405	6223.322	0.120291	6.611
FBtr0333832	6581	6399.322	0.113654	6.423
FBtr0433497	5654	5472.322	0.072163	3.487
FBtr0333833	6118	5936.322	0.063557	3.332
FBtr0433496	5848	5666.322	0.066485	3.327
FBtr0304826	8410	8228.322	0.066211	4.811
FBtr0433495	8302	8120.322	0.067594	4.847
FBtr0433493	8251	8069.322	0.069566	4.957
FBtr0300808	2019	1837.322	0.000000	0.000
FBtr0300809	4061	3879.322	0.000000	0.000
FBtr0301700	4064	3882.322	0.000000	0.000
FBtr0072287	5108	4926.322	28.663610	1247.000
FBtr0343633	2816	2634.322	5.825281	135.518
FBtr0074281	2640	2458.322	55.592646	1206.893
FBtr0343632	2730	2548.322	2.293950	51.624
FBtr0074279	3898	3716.322	39.806689	1306.418
FBtr0074280	3895	3713.322	2.395244	78.546
FBtr0072238	1035	853.322	0.000000	0.000
FBtr0308073	1317	1135.322	0.955714	9.582
FBtr0082360	764	582.607	82.810218	426.061
