Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	335.807	0.000000	0.000
FBtr0300738	2350	2176.436	0.185164	3.099
FBtr0300739	2172	1998.436	0.182296	2.801
FBtr0300737	2184	2010.436	0.228854	3.538
FBtr0300736	2338	2164.436	0.151946	2.529
FBtr0078628	2467	2293.436	0.136232	2.402
FBtr0300740	2479	2305.436	0.163417	2.897
FBtr0078627	2301	2127.436	0.159410	2.608
FBtr0300741	2313	2139.436	0.195448	3.215
FBtr0072762	889	715.619	75.686049	416.474
FBtr0346821	1270	1096.436	5.143785	43.367
FBtr0331460	900	726.617	0.331163	1.850
FBtr0303848	5005	4831.436	9.515612	353.511
FBtr0086122	1465	1291.436	0.604210	6.000
FBtr0335147	3125	2951.436	2.517656	57.137
FBtr0081459	3019	2845.436	19.631948	429.539
FBtr0305321	6523	6349.436	1.436370	70.128
FBtr0083716	5665	5491.436	20.269022	855.872
FBtr0078184	1305	1131.436	0.459769	4.000
FBtr0081691	765	591.685	0.108279	0.493
FBtr0085263	1228	1054.436	0.123336	1.000
FBtr0086342	492	318.813	0.000000	0.000
FBtr0086343	495	321.811	0.000000	0.000
FBtr0091847	1023	849.436	1.020977	6.669
FBtr0072393	1393	1219.436	13.629146	127.796
FBtr0343502	867	693.624	0.882966	4.709
FBtr0343753	3569	3395.436	4.010798	104.717
FBtr0433525	3725	3551.436	0.253177	6.914
FBtr0113895	961	787.598	28.400388	171.996
FBtr0345179	887	713.619	58.681946	322.004
FBtr0334135	4703	4529.436	0.290527	10.119
FBtr0334137	4561	4387.436	0.443002	14.945
FBtr0334141	5321	5147.436	0.206152	8.160
FBtr0334139	4203	4029.436	0.459981	14.252
FBtr0334140	5704	5530.436	0.193863	8.244
FBtr0344148	4894	4720.436	0.264611	9.605
FBtr0334142	5071	4897.436	0.228177	8.593
FBtr0334138	5563	5389.436	0.183395	7.600
FBtr0334136	3862	3688.436	1.251673	35.500
FBtr0085105	995	821.561	11.080720	70.000
FBtr0346720	2745	2571.436	0.000000	0.000
FBtr0076089	442	268.848	0.000000	0.000
FBtr0087500	1417	1243.436	12.864460	123.000
FBtr0073094	1694	1520.436	6.572471	76.840
FBtr0073093	1577	1403.436	72.479119	782.160
FBtr0343515	1092	918.436	0.234655	1.657
FBtr0072451	975	801.584	9.141123	56.343
FBtr0071607	2252	2078.436	2.815696	45.000
FBtr0081516	4704	4530.436	0.114823	4.000
FBtr0300749	931	757.613	0.687225	4.003
FBtr0346532	1185	1011.436	0.580493	4.515
FBtr0073076	880	706.620	67.449122	366.482
FBtr0089289	4677	4503.436	3.371441	116.748
FBtr0100448	4590	4416.436	1.552540	52.724
FBtr0089290	4681	4507.436	1.333878	46.231
FBtr0089288	4037	3863.436	7.675359	228.015
FBtr0100447	4417	4243.436	1.400169	45.687
FBtr0329933	4663	4489.436	1.294712	44.695
FBtr0336949	2826	2652.436	21.568506	439.901
FBtr0088786	1378	1204.436	75.285230	697.242
FBtr0088785	1869	1695.436	19.148812	249.640
FBtr0303077	607	433.766	0.000000	0.000
FBtr0339716	615	441.760	0.079866	0.271
FBtr0085459	600	426.770	79.147238	259.729
FBtr0070973	1218	1044.436	0.622584	5.000
FBtr0089252	2767	2593.436	2.428995	48.439
FBtr0334488	2840	2666.436	1.600430	32.814
FBtr0334489	2902	2728.436	1.625849	34.110
FBtr0100600	3804	3630.436	3.354282	93.637
FBtr0300305	309	135.943	0.000000	0.000
FBtr0077162	567	393.781	0.000000	0.000
FBtr0072277	713	539.707	57.831270	240.000
FBtr0344898	1082	908.436	0.000000	0.000
FBtr0086817	1175	1001.436	0.000000	0.000
FBtr0333271	5146	4972.436	0.743383	28.423
FBtr0072639	5149	4975.436	0.931584	35.640
FBtr0340000	824	650.657	1.987702	9.945
FBtr0087390	427	253.860	99.924916	195.055
FBtr0070472	3021	2847.436	2.881371	63.087
FBtr0331752	4499	4325.436	16.740641	556.791
FBtr0070475	3174	3000.436	6.802487	156.943
