Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	338.443	0.000000	0.000
FBtr0300738	2350	2179.006	0.260862	4.755
FBtr0300739	2172	2001.006	0.409215	6.850
FBtr0300737	2184	2013.006	0.358878	6.044
FBtr0300736	2338	2167.006	0.287463	5.211
FBtr0078628	2467	2296.006	0.234803	4.510
FBtr0300740	2479	2308.006	0.216274	4.176
FBtr0078627	2301	2130.006	0.307563	5.481
FBtr0300741	2313	2142.006	0.277522	4.973
FBtr0072762	889	718.230	68.413532	411.067
FBtr0346821	1270	1099.006	3.791750	34.861
FBtr0331460	900	729.229	0.293065	1.788
FBtr0303848	5005	4834.006	5.045415	204.038
FBtr0086122	1465	1294.006	0.831381	9.000
FBtr0335147	3125	2954.006	2.337056	57.755
FBtr0081459	3019	2848.006	19.325320	460.441
FBtr0305321	6523	6352.006	0.474551	25.217
FBtr0083716	5665	5494.006	14.964277	687.783
FBtr0078184	1305	1134.006	0.316228	3.000
FBtr0081691	765	594.320	0.000000	0.000
FBtr0085263	1228	1057.006	0.339264	3.000
FBtr0086342	492	321.456	0.000000	0.000
FBtr0086343	495	324.454	0.000000	0.000
FBtr0091847	1023	852.006	1.342691	9.570
FBtr0072393	1393	1222.006	76.706355	784.171
FBtr0343502	867	696.237	0.443072	2.581
FBtr0343753	3569	3398.006	3.734180	106.151
FBtr0433525	3725	3554.006	0.254424	7.565
FBtr0113895	961	790.205	22.882437	151.268
FBtr0345179	887	716.230	49.188941	294.732
FBtr0334135	4703	4532.006	0.322370	12.222
FBtr0334137	4561	4390.006	0.751708	27.607
FBtr0334141	5321	5150.006	0.211152	9.097
FBtr0334139	4203	4032.006	0.571382	19.273
FBtr0334140	5704	5533.006	0.174393	8.072
FBtr0344148	4894	4723.006	0.276959	10.943
FBtr0334142	5071	4900.006	0.245164	10.050
FBtr0334138	5563	5392.006	0.186299	8.404
FBtr0334136	3862	3691.006	1.241372	38.331
FBtr0085105	995	824.157	4.206121	29.000
FBtr0346720	2745	2574.006	0.000000	0.000
FBtr0076089	442	271.478	0.000000	0.000
FBtr0087500	1417	1246.006	8.730015	91.000
FBtr0073094	1694	1523.006	5.935763	75.628
FBtr0073093	1577	1406.006	75.441816	887.372
FBtr0343515	1092	921.006	0.240847	1.856
FBtr0072451	975	804.179	8.642675	58.144
FBtr0071607	2252	2081.006	2.929480	51.000
FBtr0081516	4704	4533.006	0.105479	4.000
FBtr0300749	931	760.228	2.528778	16.083
FBtr0346532	1185	1014.006	0.146849	1.246
FBtr0073076	880	709.233	59.945106	355.672
FBtr0089289	4677	4506.006	1.161131	43.770
FBtr0100448	4590	4419.006	1.815286	67.108
FBtr0089290	4681	4510.006	1.155567	43.599
FBtr0089288	4037	3866.006	7.597491	245.719
FBtr0100447	4417	4246.006	1.456398	51.733
FBtr0329933	4663	4492.006	1.212420	45.562
FBtr0336949	2826	2655.006	18.256624	405.501
FBtr0088786	1378	1207.006	68.620516	692.899
FBtr0088785	1869	1698.006	14.739620	209.378
FBtr0303077	607	436.399	0.000000	0.000
FBtr0339716	615	444.395	0.064147	0.238
FBtr0085459	600	429.400	69.806038	250.762
FBtr0070973	1218	1047.006	0.228336	2.000
FBtr0089252	2767	2596.006	1.083916	23.540
FBtr0334488	2840	2669.006	1.379659	30.805
FBtr0334489	2902	2731.006	1.014577	23.180
FBtr0100600	3804	3633.006	3.766485	114.474
FBtr0300305	309	138.568	0.000000	0.000
FBtr0077162	567	396.407	0.000000	0.000
FBtr0072277	713	542.343	48.488894	220.000
FBtr0344898	1082	911.006	0.000000	0.000
FBtr0086817	1175	1004.006	0.000000	0.000
FBtr0333271	5146	4975.006	0.369008	15.358
FBtr0072639	5149	4978.006	0.372087	15.496
FBtr0340000	824	653.275	0.622111	3.400
FBtr0087390	427	256.489	282.701400	606.600
FBtr0070472	3021	2850.006	2.201214	52.482
FBtr0331752	4499	4328.006	16.188634	586.144
FBtr0070475	3174	3003.006	6.085597	152.885
FBtr0070474	3218	3047.006	1.173251	29.907
FBtr0302185	2166	1995.006	0.398194	6.646
FBtr0070471	4805	4634.006	8.356376	323.952
FBtr0112828	2903	2732.006	5.693715	130.132
FBtr0301966	3182	3011.006	0.695735	17.525
FBtr0070468	3055	2884.006	9.325572	224.998
FBtr0070476	2745	2574.006	0.566520	12.199
FBtr0070470	3110	2939.006	1.281977	31.520
FBtr0331751	4750	4579.006	0.898458	34.417
FBtr0070469	4244	4073.006	9.149714	311.766
FBtr0070467	2929	2758.006	0.458132	10.570
FBtr0331753	5004	4833.006	0.534791	21.623
FBtr0070466	2847	2676.006	4.014527	89.873
FBtr0070473	3091	2920.006	1.449690	35.413
FBtr0076265	1575	1404.006	49.039549	575.999
FBtr0331935	1030	859.006	0.161425	1.160
FBtr0088237	816	645.281	92.592476	499.840
FBtr0081705	1363	1192.006	0.000000	0.000
FBtr0088524	1299	1128.006	69.092347	652.000
FBtr0074540	843	672.262	19.381243	109.000
FBtr0074494	1357	1186.006	0.302363	3.000
FBtr0085714	3349	3178.006	129.809823	3451.188
FBtr0085713	3440	3269.006	1016.163495	27789.812
FBtr0076256	334	163.558	2.923358	4.000
FBtr0339552	1718	1547.006	11.307773	146.344
FBtr0078950	1533	1362.006	23.227166	264.656
FBtr0070990	1321	1150.006	0.751834	7.233
FBtr0100409	805	634.295	0.725184	3.848
FBtr0343330	706	535.349	105.603988	472.959
FBtr0304902	1617	1446.006	0.041608	0.503
FBtr0304901	2286	2115.006	0.028070	0.497
FBtr0078872	1228	1057.006	0.113088	1.000
FBtr0077839	2112	1941.006	4.011507	65.139
FBtr0077837	2331	2160.006	6.298005	113.806
FBtr0077838	2235	2064.006	6.450875	111.387
FBtr0077836	2325	2154.006	15.686403	282.668
FBtr0075133	4018	3847.006	0.685639	22.066
FBtr0332862	2190	2019.006	4.318032	72.934
FBtr0087988	1754	1583.006	126.108189	1670.060
FBtr0087987	1948	1777.006	383.140686	5695.783
FBtr0074688	1633	1462.006	48.320572	591.000
FBtr0086864	3503	3332.006	11.085273	309.000
FBtr0083361	1283	1112.006	0.000000	0.000
FBtr0392904	4164	3993.006	4.667006	155.899
FBtr0084588	2385	2214.006	42.115563	780.059
FBtr0303161	2639	2468.006	39.394012	813.360
FBtr0079257	1918	1747.006	17.995134	263.000
FBtr0307341	906	735.229	0.052184	0.321
FBtr0084989	527	356.425	0.059528	0.177
FBtr0306309	750	579.324	0.808860	3.920
FBtr0344570	539	368.416	0.025912	0.080
FBtr0078090	1219	1048.006	30.795961	270.000
FBtr0087439	546	375.414	21.970101	69.000
FBtr0070960	2096	1925.006	0.112217	1.807
FBtr0302357	2296	2125.006	0.213096	3.788
FBtr0302356	2428	2257.006	0.180570	3.409
FBtr0340571	3830	3659.006	0.032665	1.000
FBtr0340572	3825	3654.006	0.032717	1.000
FBtr0080267	3305	3134.006	0.000000	0.000
FBtr0077141	787	616.304	0.100979	0.521
FBtr0306593	981	810.173	0.070727	0.479
FBtr0081719	1938	1767.006	63.521580	939.000
FBtr0071549	1655	1484.006	33.588773	417.000
FBtr0308832	1068	897.006	12.237884	91.835
FBtr0308833	2043	1872.006	25.770232	403.582
FBtr0074921	2263	2092.006	3.918749	68.583
FBtr0073011	1996	1825.006	0.000000	0.000
FBtr0112378	450	279.475	0.000000	0.000
FBtr0342602	1596	1425.006	0.216254	2.578
FBtr0080326	1217	1046.006	82.364250	720.741
