Name	RNAi_1	RNAi_3	RNAi_4	Untreated_1	Untreated_3	Untreated_4
FBtr0075502	0	0	0	0	0	0
FBtr0300738	4.569	3.099	3.064	13.002	2.668	4.755
FBtr0300739	5.916	2.801	4.696	12.567	4.098	6.85
FBtr0300737	5.788	3.538	4.389	18.614	2.912	6.044
FBtr0300736	4.633	2.529	3.215	9.944	3.57	5.211
FBtr0078628	4.21	2.402	2.957	7.525	3.956	4.51
FBtr0300740	4.165	2.897	2.834	9.153	2.994	4.176
FBtr0078627	5.067	2.608	4.04	8.426	4.53	5.481
FBtr0300741	4.986	3.215	3.822	10.77	3.273	4.973
FBtr0072762	987.721	416.474	445.624	1160.393	292.176	411.067
FBtr0346821	106.888	43.367	38.899	130.828	30.962	34.861
FBtr0331460	61.113	1.85	15.722	40.029	10.288	1.788
FBtr0303848	818.382	353.511	353.748	765.785	249.536	204.038
FBtr0086122	18	6	7	26	4	9
FBtr0335147	61.412	57.137	57.544	61.887	56.737	57.755
FBtr0081459	1274.814	429.539	473.719	1522.469	416.045	460.441
FBtr0305321	98.216	70.128	71.3	132.976	52.072	25.217
FBtr0083716	2261.784	855.872	872.7	2166.014	781.928	687.783
FBtr0078184	11.024	4	6	11.026	1	3
FBtr0081691	0	0.493	0	0	0	0
FBtr0085263	3	1	0	5	0	3
FBtr0086342	0.93	0	0	0.93	0	0
FBtr0086343	0.07	0	0	0.07	0	0
FBtr0091847	21.718	6.669	10.583	18.4	11.153	9.57
FBtr0072393	266.345	127.796	145.337	1893.785	668.18	784.171
FBtr0343502	48.139	4.709	4.663	1.342	2.746	2.581
FBtr0343753	145.749	104.717	121.391	111.256	72.197	106.151
FBtr0433525	30.923	6.914	5.157	25.024	5.964	7.565
FBtr0113895	74.317	171.996	170.101	43.498	76.362	151.268
FBtr0345179	2523.629	322.004	289.899	1887.502	316.638	294.732
FBtr0334135	17.324	10.119	11.186	14.274	9.973	12.222
FBtr0334137	36.904	14.945	17.209	81.618	29.214	27.607
FBtr0334141	12.85	8.16	9.095	10.296	7.801	9.097
FBtr0334139	27.402	14.252	17.787	25.826	14.179	19.273
FBtr0334140	10.883	8.244	8.066	9.556	7.54	8.072
FBtr0344148	15.679	9.605	10.949	12.784	9.11	10.943
FBtr0334142	13.554	8.593	9.337	13.351	8.486	10.05
FBtr0334138	10.06	7.6	8.399	10.702	7.289	8.404
FBtr0334136	100.499	35.5	32.972	132.845	28.605	38.331
FBtr0085105	186	70	68	76	18	29
FBtr0346720	1	0	0	0	0	0
FBtr0076089	2	0	0	0	0	0
FBtr0087500	350	123	125	385	103	91
FBtr0073094	615.398	76.84	88.088	276.779	132.107	75.628
FBtr0073093	1499.602	782.16	944.912	1842.221	774.893	887.372
FBtr0343515	1.667	1.657	1.453	1.517	5.467	1.856
FBtr0072451	277.333	56.343	71.547	265.483	63.533	58.144
FBtr0071607	98	45	61	112	38	51
FBtr0081516	30	4	6	22	6	4
FBtr0300749	1.765	4.003	12.428	52.056	13.481	16.083
FBtr0346532	10.768	4.515	4.456	17.218	1.219	1.246
FBtr0073076	1119.467	366.482	384.116	1008.726	355.3	355.672
FBtr0089289	261.448	116.748	33.692	168.736	35.234	43.77
FBtr0100448	215.621	52.724	45.343	62.787	80.344	67.108
FBtr0089290	280.025	46.231	43.459	129.5	52.557	43.599
FBtr0089288	1363.401	228.015	333.78	1558.73	336.767	245.719
FBtr0100447	200.918	45.687	56.558	75.716	60.35	51.733
FBtr0329933	246.398	44.695	45.419	113.626	55.451	45.562
FBtr0336949	137.674	439.901	526.748	409.391	381.297	405.501
FBtr0088786	564.807	697.242	866.472	967.121	648.85	692.899
FBtr0088785	2443.189	249.64	173.583	2416.271	162.908	209.378
FBtr0303077	4	0	0	0	0	0
FBtr0339716	15.573	0.271	0.222	12.417	0.247	0.238
FBtr0085459	916.427	259.729	305.778	854.583	188.753	250.762
FBtr0070973	20	5	11	13	2	2
FBtr0089252	72.945	48.439	53.971	103.85	52.553	23.54
FBtr0334488	109.253	32.814	50.477	127.884	26.954	30.805
FBtr0334489	79.242	34.11	19.576	44.541	35.318	23.18
FBtr0100600	405.653	93.637	104.748	369.007	72.175	114.474
FBtr0300305	0	0	0	0	0	0
FBtr0077162	2	0	0	0	0	0
FBtr0072277	604	240	261	591	204	220
FBtr0344898	0	0	0	0	0	0
FBtr0086817	0	0	0	0	0	0
FBtr0333271	68.692	28.423	28.194	61.249	17.922	15.358
FBtr0072639	84.355	35.64	25.806	60.844	18.538	15.496
FBtr0340000	31.538	9.945	6.574	39.398	6.615	3.4
FBtr0087390	602.46	195.055	219.426	1564.601	481.385	606.6
FBtr0070472	119.606	63.087	71.282	184.117	56.593	52.482
FBtr0331752	1739.27	556.791	570.517	2055.405	781.581	586.144
FBtr0070475	429.866	156.943	193.005	274.977	138.98	152.885
FBtr0070474	38.481	38.287	14.43	54.667	21.828	29.907
FBtr0302185	53.346	21.934	30.707	28.682	19.104	6.646
FBtr0070471	697.125	371.841	412.227	707.954	368.638	323.952
FBtr0112828	177.82	101.045	114.288	303.471	141.998	130.132
FBtr0301966	128.667	31.83	25.14	53.217	24.916	17.525
FBtr0070468	581.556	170.243	236.462	126.726	195.082	224.998
FBtr0070476	11.714	10.321	8.646	11.956	12.193	12.199
FBtr0070470	74.968	41.395	37.26	61.866	32.875	31.52
FBtr0331751	36.777	42.504	52.943	63.84	26.317	34.417
FBtr0070469	2248.395	375.99	463.963	2270.046	458.775	311.766
FBtr0070467	7.67	12.693	11.802	7.444	8.394	10.57
FBtr0331753	207.652	23.766	47.084	204.794	42.217	21.623
FBtr0070466	82.846	51.035	37.093	876.384	46.725	89.873
FBtr0070473	50.529	58.639	42.153	49.854	40.49	35.413
FBtr0076265	1958.988	514.998	690	2068.992	521.999	575.999
FBtr0331935	4.846	1.148	1.112	1.03	1.129	1.16
FBtr0088237	1113.154	483.852	570.888	1277.97	382.871	499.84
FBtr0081705	0	0	0	0	0	0
FBtr0088524	1686	753	850	1393	561	652
FBtr0074540	340	138	142	378	104.968	109
FBtr0074494	11	6	4	11	3	3
FBtr0085714	2802.722	2528.841	3252.86	2557.934	2791.777	3451.188
FBtr0085713	58829.621	21772.136	24544.14	77727.025	25395.117	27789.812
FBtr0076256	9	2	4	8	2	4
FBtr0339552	761.509	146.465	137.842	503.234	121.427	146.344
FBtr0078950	524.491	296.535	331.158	673.766	278.573	264.656
FBtr0070990	38.692	11.73	13.09	31.655	9.146	7.233
FBtr0100409	1.554	7.469	2.279	1.101	3.159	3.848
FBtr0343330	988.856	438.839	503.643	1004.403	346.695	472.959
FBtr0304902	2	0	5.386	0.81	1.661	0.503
FBtr0304901	1	1	4.614	2.19	0.339	0.497
FBtr0078872	4	0	1	2	0	1
FBtr0077839	113.754	203.819	154.609	649.421	108.555	65.139
FBtr0077837	297.467	53.001	51.881	92.631	40.244	113.806
FBtr0077838	59.779	58.55	61.624	91.153	128.663	111.387
FBtr0077836	1303.999	308.63	480.886	937.795	239.538	282.668
FBtr0075133	161.185	17.395	13.737	113.642	11.827	22.066
FBtr0332862	81.06	32.605	65.263	288.77	97.173	72.934
FBtr0087988	463.336	2001.93	2395.278	2191.142	1723.871	1670.06
FBtr0087987	14083.748	6466.876	7403.644	11639.653	4159.082	5695.783
FBtr0074688	950	587	674	1135	489	591
FBtr0086864	1006	341	399	940	292	309
FBtr0083361	2	0	0	5	0	0
FBtr0392904	2701.041	315.923	321.325	1155.901	167.583	155.899
FBtr0084588	3116.073	1334.137	1929.473	4597.441	1007.084	780.059
FBtr0303161	1181.563	328.807	261.448	1171.978	658.523	813.36
FBtr0079257	564	204	249	666	223	263
FBtr0307341	0.919	0.33	0.002	0.915	0.227	0.321
FBtr0084989	0.21	1.186	0.001	0.754	0.088	0.177
FBtr0306309	6.464	0.143	3.927	6.042	3	3.92
FBtr0344570	13.536	6.857	0.073	12.958	0	0.08
FBtr0078090	788.434	264	311	951.477	260	270
FBtr0087439	292	63	82	246	52	69
FBtr0070960	4.725	1.029	2.173	1.486	2.582	1.807
FBtr0302357	3.698	0.994	1.96	1.394	2.277	3.788
FBtr0302356	3.313	0.976	1.871	3.121	2.142	3.409
FBtr0340571	1	0.5	0.5	3.997	1	1
FBtr0340572	1	0.5	0.5	4.003	1	1
FBtr0080267	0	0	0	0	0	0
FBtr0077141	0	0	0	0	0	0.521
FBtr0306593	0	0	0	0	0	0.479
FBtr0081719	2752	1086	1244	2665	793	939
FBtr0071549	826	380	453	1020	318	417
FBtr0308832	244.993	55.786	88.429	223.514	55.842	91.835
FBtr0308833	1041.602	384.08	491.549	1345.029	388.895	403.582
FBtr0074921	736.405	142.133	50.022	840.457	114.263	68.583
FBtr0073011	5	1	1	5	2	0
FBtr0112378	2	0	0	0	0	0
FBtr0342602	6.095	2.565	2.524	6.095	2.541	2.578
FBtr0080326	1856.536	742.563	849.476	1694.086	593.459	720.741
FBtr0085405	1951	700	797	1895	632	775
FBtr0339295	0	0	0	0	0	0
FBtr0300316	0	0	0	0	0	0
FBtr0300904	0.396	0.5	0	0.681	0	0
FBtr0081633	1.656	0.5	0	0.677	0	0
FBtr0300905	0.015	0	0	0.685	0	0
FBtr0335279	8.782	2.469	0.702	10.288	4.733	0.724
FBtr0335281	19.767	2.805	0.712	30.106	1.431	0.736
FBtr0290216	0.036	0.059	0	0.055	0.051	0
FBtr0335280	0.036	0.06	0	0.056	0.052	0
FBtr0077120	417.348	220.83	237.797	428.24	207.187	212.17
FBtr0081676	0	0	0	0	0	0
FBtr0076639	9.599	4	2.587	5.728	2	2.703
FBtr0079280	1	0	2	0	0	0
FBtr0304827	4.542	3.463	3.435	6.815	2.86	3.875
FBtr0433494	12.298	8.616	6.611	14.883	4.349	5.476
FBtr0333832	10.085	5.234	6.423	14.739	3.657	4.95
FBtr0433497	5.405	6.547	3.487	7.044	3.477	4.318
