Name	Length	EffectiveLength	TPM	NumReads
FBgn0053929	423	245.745	0	0
FBgn0267873	257	79.877	0	0
FBgn0267896	719	541.543	0.000307	0.001
FBgn0260225	1197	1019.14	0	0
FBgn0040928	1085	907.138	4.26181	26
FBgn0262789	532	354.65	0.83854	2
FBgn0058461	391	213.789	0.000915	0.001
FBgn0042701	620	442.606	0.006932	0.021
FBgn0263493	352	174.812	0.000766	0.001
FBgn0265917	359	181.809	0	0
FBgn0262163	610	432.613	0.687423	2
FBgn0085831	237	60.102	0	0
FBgn0267108	321	143.829	0.000929	0.001
FBgn0051032	770	592.524	13.0494	52
FBgn0266102	391	213.789	0.004176	0.006
FBgn0053867	526	348.655	0.986303	2.313
FBgn0267026	323	145.828	0	0
FBgn0267519	2689	2511.14	3551.36	59975.1
FBgn0058005	1227	1049.14	0.172768	1.219
FBgn0039979	803	625.498	7.01773	29.521
FBgn0053318	523	345.656	0	0
FBgn0053805	440	262.726	0.006363	0.011
FBgn0267419	780	602.519	0	0
FBgn0267892	760	582.527	0	0
FBgn0267902	582	404.627	0	0
FBgn0262964	777	599.521	0.496044	2
FBgn0085790	1041	863.138	0.332637	1.931
FBgn0267879	601	423.616	0	0
FBgn0085291	1130	952.138	0.144166	0.923
FBgn0263093	1195.9	1018.04	24.8874	170.392
FBgn0267952	1290	1112.14	0	0
FBgn0030117	636	458.587	0.08899	0.274
FBgn0058182	291	113.846	0	0
FBgn0052518	75	26.501	5.61091	1
FBgn0027934	1345	1167.14	0	0
FBgn0085340	423	245.745	0	0
FBgn0263744	845	667.462	0	0
FBgn0263210	221	45.569	0	0
FBtr0346869	123	58.504	3.10013	1.22
FBgn0267427	697	519.553	0	0
FBgn0263975	1131	953.138	3.58812	23
FBgn0267869	420	242.75	0.00022	0
FBgn0037560	956.775	779.179	47.8995	251
FBgn0263212	220	44.744	0	0
FBgn0085732	1478.87	1301.01	71.7751	628.002
FBgn0267593	610	432.613	0	0
FBgn0058100	394	216.785	7.59197	11.069
FBgn0264888	465	287.703	1.03367	2
FBgn0037143	1446	1268.14	0.234508	2
FBgn0262510	501	323.675	5.0174	10.922
FBgn0263771	276	98.858	0	0
FBgn0053315	421	243.748	0.610032	1
FBgn0050029	480	302.703	0	0
FBgn0085791	1041	863.138	0.037683	0.219
FBgn0085804	252	74.889	0	0
FBgn0267876	766	588.525	0	0
FBgn0267494	656	478.568	0	0
FBgn0085792	1211	1033.14	1.78449	12.399
FBgn0053013	2636	2458.14	0	0
FBgn0266211	1668	1490.14	1.29721	13
FBgn0265141	1303	1125.14	0	0
FBgn0051292	451.92	274.635	2.78298	5.141
FBgn0053294	1947.98	1770.12	2.85608	34
FBgn0000280	166	25.683	5.78966	1
FBgn0262885	102	43.661	0	0
FBgn0011812	456	278.712	0	0
FBgn0265533	403.316	226.08	0.000516	0.001
FBgn0052496	778	600.521	1.0497	4.239
FBgn0052009	3001.05	2823.19	1.30553	24.787
FBtr0347033	1076	898.138	0	0
FBgn0262688	493	315.68	0.471028	1
FBgn0053222	548.609	371.252	1.53803	3.84
FBgn0266940	581	403.627	0	0
FBgn0262565	802	624.499	0	0
FBgn0263002	361	183.808	0.808963	1
FBgn0084049	531	353.65	15.7657	37.497
FBgn0263211	352	174.812	0.000738	0.001
FBgn0267872	775	597.521	0	0
FBgn0262031	330	152.824	30.5194	31.367
FBgn0267014	274	96.86	6.1804	4.026
FBgn0039987	184	23.606	0	0
FBgn0261640	810	632.493	1.40778	5.988
